filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 35704479 a_Summary_SoE.pdf,Group 2: Treatment Arm (TCA Modality),intervention,1,2,4,5,5,6,180,"Screening (Visit 0), Randomization (Visit 1), interim treatment visits (1A, 1B, 1C every 3 weeks), then every 6 months (Visits 2-11).",
PMID 35728048 CT_Summary_SoE.pdf,Arm A (Pevonedistat + Azacitidine),intervention,2,11,30,56,80,106,28,"Cycle 1: Days 1, 2, 3, 4, 5, 8, 9 (Treatment) and Days 15, 21 (Labs). Cycle 2+: Days 1, 2, 3, 4, 5, 8, 9 (Treatment) and Day 22 (Labs).",
PMID 35728048 CT_Summary_SoE.pdf,Arm B (Single-agent Azacitidine),control,2,11,30,56,80,106,28,"Cycle 1: Days 1, 2, 3, 4, 5, 8, 9 (Treatment) and Days 15, 21 (Labs). Cycle 2+: Days 1, 2, 3, 4, 5, 8, 9 (Treatment) and Day 22 (Labs).",
PMID 35759733CT_Summary_SoE.pdf,Regimen I (CT-2103),intervention,2,2,4,7,10,13,28,"Day 1 of each 28-day cycle (C1D1, C2D1, etc.) for 12 cycles, plus an End of Treatment (EOT) visit 28 days after the last dose.",
PMID 35759733CT_Summary_SoE.pdf,Regimen II (Paclitaxel),intervention,2,2,4,7,10,13,28,"Day 1 of each 28-day cycle (C1D1, C2D1, etc.) for 12 cycles, plus an End of Treatment (EOT) visit 28 days after the last dose.",
PMID 35759733CT_Summary_SoE.pdf,Regimen III (Surveillance),control,2,1,3,6,9,12,30,"Monthly surveillance visits (Day 1, 31, 61, etc.) for the first year.",
PMID 35763704 a_Summary_SoE.pdf,Arm A (Atezolizumab + ddAC-PacHP / Atezolizumab + HP),intervention,2,3,9,19,23,28,14,"Neoadjuvant: Cycles 1-4 (Q2W, Day 1), Cycles 5-8 (QW, Days 1, 8, 15). Adjuvant: Cycles 9-22 (Q3W, Day 1).",
PMID 35763704 a_Summary_SoE.pdf,Arm B (Placebo + ddAC-PacHP / Placebo + HP),control,2,3,9,19,23,28,14,"Neoadjuvant: Cycles 1-4 (Q2W, Day 1), Cycles 5-8 (QW, Days 1, 8, 15). Adjuvant: Cycles 9-22 (Q3W, Day 1).",
PMID 35810754 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 35857290 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 35922251 CT_Summary_SoE.pdf,Arm A (Cemiplimab),intervention,1,2,7,13,18,24,42,"Dosing on Day 1 and Day 22 of every 42-day cycle. Imaging on Day 42 of cycles 1-4, 6, 8, 10, 12, 14, 16.",
PMID 35922251 CT_Summary_SoE.pdf,Arm B (IC Chemotherapy),control,1,5,13,26,38,51,42,"Dosing on Days 1, 8, 15, 22, 29 of every 42-day cycle (composite of IC options). Imaging on Day 42 of cycles 1-4, 6, 8, 10, 12, 14, 16.",
PMID 35947817 CT_Summary_SoE.pdf,Arm A (DCC-2618),intervention,2,3,6,10,14,19,42,"Cycle 1: Days 1, 15, 29; Cycle 2+: Days 1, 29",
PMID 35947817 CT_Summary_SoE.pdf,Arm B (Sunitinib),control,2,3,6,10,14,19,42,"Cycle 1: Days 1, 15, 29; Cycle 2+: Days 1, 29",
PMID 36070540 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 36099926 CT_Summary_SoE.pdf,Arm A (Atezolizumab),intervention,1,2,5,9,13,18,21,Day 1 of each 21-day cycle for 16 cycles.,
PMID 36099926 CT_Summary_SoE.pdf,Arm B (Placebo),control,1,2,5,9,13,18,21,Day 1 of each 21-day cycle for 16 cycles.,
PMID 36108662 CT_Summary_SoE.pdf,Arm A (Pembrolizumab),intervention,3,2,5,9,13,18,21,IV infusions every 3 weeks (21 days) for a total of 18 infusions.,
PMID 36108662 CT_Summary_SoE.pdf,Arm B (Placebo),control,3,2,5,9,13,18,21,IV infusions every 3 weeks (21 days) for a total of 18 infusions.,
PMID 36155117 CT_Summary_SoE.pdf,Arm A (Palbociclib + Letrozole),intervention,2,4,8,11,14,18,28,"Cycle 1 and 2: Days 1, 14, 21. Cycles 3 and beyond: Day 1 only.",
PMID 36155117 CT_Summary_SoE.pdf,Arm B (Placebo + Letrozole),control,2,4,8,11,14,18,28,"Cycle 1 and 2: Days 1, 14, 21. Cycles 3 and beyond: Day 1 only.",
PMID 36162037 a_Summary_SoE.pdf,Arm A (Nivolumab 240 mg Q2W + Ipilimumab 1 mg/kg Q6W),intervention,1,3,7,13,20,25,14,Visits occur every 2 weeks (Q2W) for a maximum of 1 year (25 visits total based on SoA tables).,
PMID 36162037 a_Summary_SoE.pdf,Arm B (Nivolumab 480 mg Q4W),control,1,3,7,13,20,25,14,"Visits occur every 2 weeks (Q2W) to maintain the double-blind, with placebos administered on off-weeks (Weeks 3, 7, 11, etc.).",
PMID 36265504 a_Summary_SoE.pdf,Arm A (Enzalutamide + Docetaxel + Prednisolone),intervention,2,5,12,21,24,25,21,Docetaxel infusion every 21 days (Cycles 1-10). Nadir hematology labs 1 week after each infusion (all cycles) and 2 weeks after each infusion (Cycles 1-3). Post-docetaxel monitoring every 12 weeks.,
PMID 36265504 a_Summary_SoE.pdf,Arm B (Placebo + Docetaxel + Prednisolone),control,2,5,12,21,24,25,21,Docetaxel infusion every 21 days (Cycles 1-10). Nadir hematology labs 1 week after each infusion (all cycles) and 2 weeks after each infusion (Cycles 1-3). Post-docetaxel monitoring every 12 weeks.,
PMID 36308441 CT_Summary_SoE.pdf,Arm A (PledOx + mFOLFOX6),intervention,1,3,7,13,14,15,14,"Day 1 of each 14-day cycle for 12 cycles, plus EOT and follow-up visits.",
PMID 36308441 CT_Summary_SoE.pdf,Arm B (Placebo + mFOLFOX6),control,1,3,7,13,14,15,14,"Day 1 of each 14-day cycle for 12 cycles, plus EOT and follow-up visits.",
PMID 36322844 a_Summary_SoE.pdf,Arm A (Experimental Arm - Bv-AVEPC),intervention,2,8,20,37,38,39,21,"Days 1, 2, 3, 8 of each 21-day cycle; interim PET/CT after Cycle 2; End of Treatment (EOT) visit; 14 days of Involved Site Radiation Therapy (ISRT); End of RT visit; Follow-up visits.",
PMID 36322844 a_Summary_SoE.pdf,Arm B (Standard Arm - ABVE-PC),control,2,8,20,37,38,39,21,"Days 1, 2, 3, 8 of each 21-day cycle; interim PET/CT after Cycle 2; End of Treatment (EOT) visit; 14 days of Involved Site Radiation Therapy (ISRT); End of RT visit; Follow-up visits.",
PMID 36327426 a_Summary_SoE.pdf,Arm 1 (Durvalumab + Tremelimumab + SoC Chemotherapy),intervention,1,5,13,16,19,23,21,"Cycles 1-4 (21-day cycles): Days 1, 8, 15. Cycle 5 onwards (28-day cycles): Day 1 only.",
PMID 36327426 a_Summary_SoE.pdf,Arm 2 (Durvalumab Monotherapy + SoC Chemotherapy),intervention,1,5,13,16,19,23,21,"Cycles 1-4 (21-day cycles): Days 1, 8, 15. Cycle 5 onwards (28-day cycles): Day 1 only.",
PMID 36327426 a_Summary_SoE.pdf,Arm 3 (SoC Chemotherapy Alone),control,1,5,13,17,21,26,21,"Cycles 1-4 (21-day cycles): Days 1, 8, 15. Cycle 5 onwards (Maintenance): Assumed q3w schedule (Day 1 only).",
PMID 36346687 CT_Summary_SoE.pdf,Arm A (Capecitabine Maintenance),intervention,8,2,5,8,9,10,21,"Day 1 of each 21-day cycle for 8 cycles (24 weeks), followed by follow-up visits every 3 months.",
PMID 36346687 CT_Summary_SoE.pdf,Arm B (Observation),control,8,2,5,8,9,10,21,"Follows the same visit schedule as Arm A (every 21 days for 24 weeks, then every 3 months).",
PMID 36395435 b_Summary_SoE.pdf,Arm A (Zanubrutinib),intervention,1,2,4,7,10,14,28,One visit on Day 1 of every 28-day cycle.,
PMID 36395435 b_Summary_SoE.pdf,Arm B (Ibrutinib),control,1,2,4,7,10,14,28,One visit on Day 1 of every 28-day cycle.,
PMID 36455168 a_Summary_SoE.pdf,Pembrolizumab + BSC,intervention,2,2,5,9,13,18,21,Day 1 of every 3-week cycle (Q3W).,
PMID 36455168 a_Summary_SoE.pdf,Placebo + BSC,control,2,2,5,9,13,18,21,Day 1 of every 3-week cycle (Q3W).,
PMID 36473143 CT_Summary_SoE.pdf,Arm A (Nivolumab + Ipilimumab),intervention,2,3,7,13,20,27,42,"3 visits per 6-week cycle (Day 1, Day 15, Day 29)",
PMID 36473143 CT_Summary_SoE.pdf,Arm B (EXTREME regimen),control,2,11,28,44,57,71,21,"6 visits per 3-week cycle for the first 6 cycles (Days 1, 2, 3, 4, 8, 15), followed by 3 visits per cycle (Days 1, 8, 15) during the maintenance phase.",
PMID 36503738 CT_Summary_SoE.pdf,Arm 1 (BBI-608 + FOLFIRI),intervention,2,3,7,13,20,27,14,"Run-in Day 1 (pre-treatment), then Day 1 of each 14-day cycle.",
PMID 36503738 CT_Summary_SoE.pdf,Arm 2 (FOLFIRI),control,1,3,7,13,20,27,14,Day 1 of each 14-day cycle.,
PMID 36521097 CT_Summary_SoE.pdf,Arm A (nab-Paclitaxel plus Gemcitabine),intervention,1,4,10,19,20,21,28,"Days 1, 8, and 15 of each 28-day cycle for 6 cycles.",
PMID 36521097 CT_Summary_SoE.pdf,Arm B (Gemcitabine alone),control,1,4,10,19,20,21,28,"Days 1, 8, and 15 of each 28-day cycle for 6 cycles.",
PMID 36535566 CT_Summary_SoE.pdf,Arm 1 (Pembrolizumab),intervention,1,5,13,17,21,26,21,"Day 1, Day 8, and Day 15 for Cycles 1-4; Day 1 every 3 weeks thereafter.",
PMID 36535566 CT_Summary_SoE.pdf,Arm 2 (Standard of Care - Gemcitabine),control,1,5,13,22,30,40,21,"Day 1, Day 8, and Day 15 for Cycles 1-4; Day 1 and Day 8 every 3 weeks thereafter.",
PMID 36541957 CT_Summary_SoE.pdf,Arm A (Ibrutinib + CIT),intervention,1,8,17,20,21,22,28,"5 consecutive days per cycle for CIT (Days 1-5), plus Day 14 imaging in Cycle 1. Monotherapy is Day 1 of each cycle.",
PMID 36541957 CT_Summary_SoE.pdf,Arm B (CIT alone),control,1,8,17,18,19,20,28,"5 consecutive days per cycle for CIT (Days 1-5), plus Day 14 imaging in Cycle 1.",
PMID 36623230 a_Summary_SoE.pdf,Arm A (45 Gy BID Radiotherapy + Chemotherapy),control,2,19,28,29,30,31,21,"Radiotherapy daily (Mon-Fri) for 3 weeks. Chemotherapy on Days 1, 2, 3 of each 21-day cycle (4 cycles total). Labs on Days 1 and 8 of each cycle. Follow-up every 3 months.",
PMID 36623230 a_Summary_SoE.pdf,Arm B (70 Gy QD Radiotherapy + Chemotherapy),intervention,2,22,41,42,43,44,21,"Radiotherapy daily (Mon-Fri) for 7 weeks. Chemotherapy on Days 1, 2, 3 of each 21-day cycle (4 cycles total). Labs on Days 1 and 8 of each cycle. Follow-up every 3 months.",
PMID 36623230 a_Summary_SoE.pdf,Arm C (61.2 Gy CB Radiotherapy + Chemotherapy),intervention,2,22,34,35,36,37,21,"Radiotherapy daily (Mon-Fri) for 5 weeks. Chemotherapy on Days 1, 2, 3 of each 21-day cycle (4 cycles total). Labs on Days 1 and 8 of each cycle. Follow-up every 3 months.",
PMID 36669140 CT_Summary_SoE.pdf,Regimen A (VDC/IE Chemotherapy),control,2,11,30,53,71,72,14,"Induction (6 cycles): Days 1, 2 (Tx) and Day 8 (Labs). Consolidation (8 cycles): Days 1, 2 (Tx) and Day 8 (Labs).",
PMID 36669140 CT_Summary_SoE.pdf,Regimen B (VDC/IE + Ganitumab),intervention,2,11,30,53,73,78,14,Induction/Consolidation same as Arm A. Maintenance: 8 doses every 3 weeks.,
PMID 36693773 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 36709073 CT_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 36764316 a_Summary_SoE.pdf,Arm A (AMG 510),intervention,1,3,6,10,14,19,21,Cycle 1: Day 1 and Day 8. Subsequent cycles: Day 1 only. Imaging every 6 weeks (approx. every 2 cycles).,
PMID 36764316 a_Summary_SoE.pdf,Arm B (Docetaxel),control,1,2,5,9,,18,21,Day 1 of every 21-day cycle.,
PMID 36795891 a_Summary_SoE.pdf,Arm A (Rucaparib),intervention,3,3,6,9,12,16,28,"Day 1, 15, 29, 43, 57, then every 28 days thereafter.",
PMID 36795891 a_Summary_SoE.pdf,Arm B (AR-directed therapy: Abiraterone or Enzalutamide),control,3,3,6,9,12,16,28,"Day 1, 15, 29, 43, 57, then every 28 days thereafter.",
PMID 36795891 a_Summary_SoE.pdf,Arm C (Docetaxel),control,3,3,7,13,17,21,21,Infusions every 21 days (max 10 cycles); Labs/Clinic every 28 days.,
PMID 36952634 CT_Summary_SoE.pdf,Arm A (Niraparib + AAP),intervention,2,5,11,14,17,20,28,"Weekly for Cycles 1-2, Day 1 and 15 for Cycle 3, then Day 1 every cycle until Cycle 12, then Day 1 every 2 cycles.",
PMID 36952634 CT_Summary_SoE.pdf,Arm B (Placebo + AAP),control,2,5,11,14,17,20,28,Identical to Arm A.,
PMID 36952634 CT_Summary_SoE.pdf,Cohort 3 (Niraparib + AA FDC),intervention,2,5,11,14,17,20,28,Identical to Arm A as per protocol section 3.1.3.,
PMID 36969338 a_Summary_SoE.pdf,Arm 1 (BBI-608 plus nab-paclitaxel with gemcitabine),intervention,2,5,11,21,31,41,28,"Run-in Day 1, then Days 1, 8, and 15 of every 28-day cycle.",
PMID 36969338 a_Summary_SoE.pdf,Arm 2 (nab-paclitaxel with gemcitabine),control,2,4,10,20,30,40,28,"Days 1, 8, and 15 of every 28-day cycle.",
PMID 36996380 CT_Summary_SoE.pdf,Arm A (Enzalutamide alone),control,2,2,4,7,10,14,28,Day 1 of each 28-day cycle.,
PMID 36996380 CT_Summary_SoE.pdf,"Arm B (Enzalutamide, Abiraterone, and Prednisone)",intervention,2,3,7,10,13,17,28,"Day 1 of each 28-day cycle, plus Day 15 of Cycles 1, 2, and 3.",
PMID 37069359 a_Summary_SoE.pdf,Arm A (BL-8040 + G-CSF),intervention,2,8,32,34,35,36,,"Daily for 8 days (mobilization), followed by conditioning/transplant inpatient stay (~21 days), then follow-up visits at Day 30, 60, 100, 180, 270, and 360 post-transplant.",
PMID 37069359 a_Summary_SoE.pdf,Arm B (Placebo + G-CSF),control,2,8,32,34,35,36,,"Daily for 8 days (mobilization), followed by conditioning/transplant inpatient stay (~21 days), then follow-up visits at Day 30, 60, 100, 180, 270, and 360 post-transplant.",
PMID 37071094 a_Summary_SoE.pdf,mFOLFOX6 + panitumumab,intervention,2,5,14,26,40,52,14,"2 visits per 14-day cycle: Day 1 (Labs, Clinic Visit, and Treatment Initiation) and Day 3 (Continuous Infusion Pump Disconnection).",
PMID 37071094 a_Summary_SoE.pdf,mFOLFOX6 + bevacizumab,control,2,5,14,26,40,52,14,"2 visits per 14-day cycle: Day 1 (Labs, Clinic Visit, and Treatment Initiation) and Day 3 (Continuous Infusion Pump Disconnection).",
PMID 37075781 a_Summary_SoE.pdf,Arm A (Pembrolizumab plus Gemcitabine/Cisplatin),intervention,2,4,9,18,26,36,21,Day 1 and Day 8 of each 21-day cycle.,
PMID 37075781 a_Summary_SoE.pdf,Arm B (Placebo plus Gemcitabine/Cisplatin),control,2,4,9,18,26,36,21,Day 1 and Day 8 of each 21-day cycle.,
PMID 37080222 a_Summary_SoE.pdf,Arm A (Tislelizumab + Chemotherapy),intervention,2,5,11,15,19,24,21,"Cycles 1-3: Days 1, 8, 15; Cycles 4+: Day 1",
PMID 37080222 a_Summary_SoE.pdf,Arm B (Placebo + Chemotherapy),control,2,5,11,15,19,24,21,"Cycles 1-3: Days 1, 8, 15; Cycles 4+: Day 1",
PMID 37080223 CT_Summary_SoE.pdf,Arm A (Standard Chemoradiation),control,2,20,28,29,30,31,7,"Daily EBRT (5 days/week) for 5 weeks with weekly cisplatin, followed by brachytherapy, an end-of-treatment visit, and 3-monthly follow-up.",
PMID 37080223 CT_Summary_SoE.pdf,Arm B (Standard Chemoradiation + Adjuvant Chemotherapy),intervention,2,20,28,32,33,34,21,"Daily EBRT (5 days/week) for 5 weeks with weekly cisplatin, followed by brachytherapy, then 4 cycles of 3-weekly adjuvant chemotherapy, an end-of-treatment visit, and 3-monthly follow-up.",
PMID 37086745 a_Summary_SoE.pdf,Arm A (Trastuzumab deruxtecan / DS-8201a),intervention,3,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15. Subsequent cycles: Day 1 only.",
PMID 37086745 a_Summary_SoE.pdf,Arm B (Investigator's Choice: Trastuzumab/capecitabine or Lapatinib/capecitabine),control,3,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15. Subsequent cycles: Day 1 only.",
PMID 37104748 CT_Summary_SoE.pdf,Arm 1 (Dose-escalated RT alone),control,1,22,44,46,47,48,1,"Daily radiotherapy (RT) for 44 fractions (approx. 9 weeks). Follow-up visits at 3, 6, 9, and 12 months post-RT.",
PMID 37104748 CT_Summary_SoE.pdf,Arm 2 (Dose-escalated RT + short-term ADT),intervention,1,1,27,48,48,49,1,"Monthly androgen deprivation therapy (ADT) for 6 months. Daily RT for 44 fractions starting 8 weeks after first ADT dose. Follow-up visits at 6, 9, and 12 months post-RT.",
PMID 37116523 a_Summary_SoE.pdf,Quizartinib + Standard Induction/Consolidation Chemotherapy,intervention,2,29,44,56,60,64,28,"Induction C1 (28 days inpatient); Consolidation C1-C4 (6 unique days: D1, 3, 5 core; D6 labs; D13, 19 imaging); Continuation C1 (3 days imaging); Continuation C2 (2 days imaging); Continuation C3+ (1 day labs).",
PMID 37116523 a_Summary_SoE.pdf,Placebo + Standard Induction/Consolidation Chemotherapy,control,2,29,44,56,60,64,28,"Induction C1 (28 days inpatient); Consolidation C1-C4 (6 unique days: D1, 3, 5 core; D6 labs; D13, 19 imaging); Continuation C1 (3 days imaging); Continuation C2 (2 days imaging); Continuation C3+ (1 day labs).",
PMID 37141294 CT_Summary_SoE.pdf,Pembrolizumab (MK-3475),intervention,1,2,5,9,13,18,21,Day 1 of each 3-week (21-day) cycle.,
PMID 37141294 CT_Summary_SoE.pdf,Docetaxel,control,1,2,5,9,13,18,21,Day 1 of each 3-week (21-day) cycle.,
PMID 37257422 CT_Summary_SoE.pdf,Arm A (Standard Steroids),control,1,22,33,40,46,53,28,Chemoradiation Phase: Focal RT 5 days/week for 6 weeks (30 days total). Adjuvant Phase: 28-day cycles with infusions on Day 1 and Day 15.,
PMID 37257422 CT_Summary_SoE.pdf,Arm B (Standard Steroids + Vasoconstrictor + Cold Compress),intervention,1,22,33,40,46,53,28,Chemoradiation Phase: Focal RT 5 days/week for 6 weeks (30 days total). Adjuvant Phase: 28-day cycles with infusions on Day 1 and Day 15.,
PMID 37257422 CT_Summary_SoE.pdf,Arm C (Enhanced Steroids + Vasoconstrictor + Cold Compress),intervention,1,22,33,40,46,53,28,Chemoradiation Phase: Focal RT 5 days/week for 6 weeks (30 days total). Adjuvant Phase: 28-day cycles with infusions on Day 1 and Day 15.,
PMID 37272516 a_Summary_SoE.pdf,Arm A (Vorasidenib),intervention,2,3,6,9,12,16,28,Cycles 1-2: Day 1 and Day 15; Cycles 3-14: Day 1 only.,
PMID 37272516 a_Summary_SoE.pdf,Arm B (Placebo),control,2,3,6,9,12,16,28,Cycles 1-2: Day 1 and Day 15; Cycles 3-14: Day 1 only.,
PMID 37276510 CT_Summary_SoE.pdf,Arm A (SGI-110),intervention,1,10,28,45,60,76,28,"Days 1-5 (Treatment), Days 8, 15, 22 (Labs/AEs) for Cycles 1-2; Days 1-5 (Treatment), Day 15 (Labs/AEs) for Cycles 3-6; Days 1-5 (Treatment) for Cycles >6.",
PMID 37276510 CT_Summary_SoE.pdf,Arm B (Treatment Choice - Cytarabine),control,1,14,41,78,108,139,28,"Days 1-10 (Treatment), Days 15, 22 (Labs/AEs) for Cycles 1-2; Days 1-10 (Treatment), Day 15 (Labs/AEs) for Cycles 3-6; Days 1-10 (Treatment) for Cycles >6.",
PMID 37284847 CT_Summary_SoE.pdf,Group 1 (Olanzapine + Fosaprepitant/Aprepitant),intervention,1,2,4,4,4,4,21,1 day per cycle (Day 1) for up to 4 cycles,
PMID 37284847 CT_Summary_SoE.pdf,Group 2 (Olanzapine + Placebo),control,1,2,4,4,4,4,21,1 day per cycle (Day 1) for up to 4 cycles,
PMID 37285865 b_Summary_SoE.pdf,Arm A (Talazoparib + Enzalutamide),intervention,2,3,7,11,14,18,14,"Every 2 weeks through Week 17, then every 4 weeks through Week 53.",
PMID 37285865 b_Summary_SoE.pdf,Arm B (Placebo + Enzalutamide),control,2,3,7,11,14,18,14,"Every 2 weeks through Week 17, then every 4 weeks through Week 53.",
PMID 37290035 CT_Summary_SoE.pdf,Arm 1 (Pembrolizumab + Olaparib),intervention,1,2,5,9,13,18,21,Day 1 of each 21-day cycle.,
PMID 37290035 CT_Summary_SoE.pdf,Arm 2 (Abiraterone acetate or Enzalutamide),control,1,2,5,9,13,18,21,Day 1 of each 21-day cycle.,
PMID 37290461 a_Summary_SoE.pdf,Experimental Arm (Atezolizumab + Cabozantinib),intervention,2,2,5,9,13,18,21,1 visit every 21 days (Day 1 of each cycle).,
PMID 37290461 a_Summary_SoE.pdf,Control Arm (Cabozantinib Alone),control,2,2,5,9,13,18,21,1 visit every 21 days (Day 1 of each cycle) for safety monitoring and drug dispensing.,
PMID 37315297 a_Summary_SoE.pdf,Arm 1 (EBRT + Brachytherapy),intervention,2,20,27,29,30,31,7,"EBRT 5 days/week for 5 weeks; Brachytherapy procedure 2-4 weeks post-EBRT; Follow-up at 4, 6, 9, 12 months.",
