filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error,publication_year
PMID 21306237 a_Summary_SoE.pdf,Arm B (Placebo),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Screening (1 day); Month 1: Day 1 and Day 15; Subsequent Months: Day 1 every 28 days.,,2011.0
PMID 21306238 a_Summary_SoE.pdf,Arm A (RAD001 10 mg/d plus best supportive care),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Cycle 1: Day 1 and Day 15. Subsequent Cycles: Day 1 of each 28-day cycle.,,2011.0
PMID 21306238 a_Summary_SoE.pdf,Arm B (Placebo plus best supportive care),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Cycle 1: Day 1 and Day 15. Subsequent Cycles: Day 1 of each 28-day cycle.,,2011.0
PMID 21410393 a_Summary_SoE.pdf,Sirolimus (Rapamycin),intervention,2.0,1.0,1.0,2.0,3.0,5.0,0.0,"Screening (Visit 0, Visit 1), Week 3 (Visit 2), Week 13 (Visit 3), Week 26 (Visit 4), Week 39 (Visit 5), Week 52 (Visit 6)",,2011.0
PMID 21410393 a_Summary_SoE.pdf,Placebo,control,2.0,1.0,1.0,2.0,3.0,5.0,0.0,"Screening (Visit 0, Visit 1), Week 3 (Visit 2), Week 13 (Visit 3), Week 26 (Visit 4), Week 39 (Visit 5), Week 52 (Visit 6)",,2011.0
PMID 21612468 a_Summary_SoE.pdf,Arm A (Abiraterone Acetate + Prednisone),intervention,1.0,3.0,7.0,10.0,13.0,17.0,28.0,"Day 1 of every 28-day cycle; Day 15 of Cycles 1, 2, and 3. Imaging (CT/MRI/Bone Scan) every 3 cycles starting at Cycle 4.",,2011.0
PMID 21612468 a_Summary_SoE.pdf,Arm B (Placebo + Prednisone),control,1.0,3.0,7.0,10.0,13.0,17.0,28.0,"Day 1 of every 28-day cycle; Day 15 of Cycles 1, 2, and 3. Imaging (CT/MRI/Bone Scan) every 3 cycles starting at Cycle 4.",,2011.0
PMID 21621716 CT_Summary_SoE.pdf,Arm 2 (Tarceva + bevacizumab),intervention,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle,,2011.0
PMID 21621716 CT_Summary_SoE.pdf,Arm 1 (Tarceva + placebo),control,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle,,2011.0
PMID 21631324 a_Summary_SoE.pdf,Arm 1: gp100:209-217(210M) peptide vaccine + high-dose IL-2,intervention,2.0,16.0,32.0,51.0,76.0,103.0,21.0,"Each 3-week cycle involves 8 contact days (Day 0/21 clinic/vaccine, Days 1-4/22-25 inpatient IL-2, Days 5-7/26-28 inpatient monitoring). Courses consist of 2 cycles followed by a 3-week rest/evaluation period (total 63 days per course).",,2011.0
PMID 21631324 a_Summary_SoE.pdf,Arm 2: High-dose IL-2 alone,control,2.0,16.0,32.0,51.0,76.0,103.0,21.0,"Identical to Arm 1, but Day 0 and Day 21 are categorized as clinic visits rather than treatment days as no vaccine is administered.",,2011.0
PMID 21639808 a_Summary_SoE.pdf,Arm A (RO5185426),intervention,2.0,3.0,6.0,10.0,14.0,19.0,21.0,Day 1 of each 21-day cycle; additional lab visit on Day 8 of Cycle 1.,,2011.0
PMID 21639808 a_Summary_SoE.pdf,Arm B (Dacarbazine),control,2.0,3.0,6.0,10.0,14.0,19.0,21.0,Day 1 of each 21-day cycle; additional lab visit on Day 8 of Cycle 1.,,2011.0
PMID 21639810 a_Summary_SoE.pdf,Arm A (Ipilimumab + Dacarbazine),intervention,2.0,2.0,8.0,13.0,15.0,17.0,21.0,"Induction Phase: Weeks 1, 4, 7, 10, 12, 13, 16, 19, 20, 22, 24. Maintenance Phase: Every 6 weeks for tumor assessments, every 12 weeks for dosing.",,2011.0
PMID 21639810 a_Summary_SoE.pdf,Arm B (Placebo + Dacarbazine),control,2.0,2.0,8.0,13.0,15.0,17.0,21.0,"Induction Phase: Weeks 1, 4, 7, 10, 12, 13, 16, 19, 20, 22, 24. Maintenance Phase: Every 6 weeks for tumor assessments, every 12 weeks for dosing.",,2011.0
PMID 21751904 a_Summary_SoE.pdf,Arm 1 (Neoadjuvant TAS + Radiation Therapy),intervention,2.0,1.0,24.0,40.0,41.0,42.0,30.0,TAS injections monthly for 4 months; RT daily (5 days/week) for ~7.5 weeks starting at Month 3; Follow-up every 3 months post-RT.,,2011.0
PMID 21751904 a_Summary_SoE.pdf,Arm 2 (Radiation Therapy Alone),control,2.0,21.0,37.0,38.0,39.0,40.0,7.0,RT daily (5 days/week) for ~7.5 weeks; Follow-up every 3 months post-RT.,,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm A (Auto-Allo: ASCT followed by NMSCT),intervention,2.0,23.0,24.0,35.0,46.0,49.0,28.0,"Phase 1: ASCT (22-day stay) + Day 28. Phase 2: NMSCT (3-day procedure) + 2 visits/week for 4 weeks, then 1 visit/week for 8 weeks, then monthly/quarterly follow-up.",,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm B1 (Auto-Auto + Maintenance),intervention,2.0,23.0,24.0,54.0,64.0,75.0,28.0,Tandem ASCT (2 x 22-day stays). Maintenance phase includes 15 specific monitoring visits over 12 months.,,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm B2 (Auto-Auto + Observation),control,2.0,23.0,24.0,54.0,57.0,60.0,28.0,"Tandem ASCT (2 x 22-day stays) followed by standard post-transplant follow-up at Day 100, 6 months, 9 months, and 12 months.",,2011.0
PMID 21990397 a_Summary_SoE.pdf,Arm A (Chemotherapy + Bevacizumab),intervention,2.0,2.0,7.0,13.0,19.0,26.0,21.0,Day 1 of each 21-day cycle for treatment; Tumor assessments (imaging) every 6 weeks.,,2011.0
PMID 21990397 a_Summary_SoE.pdf,Arm B (Chemotherapy + Placebo),control,2.0,2.0,7.0,13.0,19.0,26.0,21.0,Day 1 of each 21-day cycle for treatment; Tumor assessments (imaging) every 6 weeks.,,2011.0
PMID 21991949 a_Summary_SoE.pdf,AC→T (Doxorubicin and Cyclophosphamide followed by Docetaxel),control,2.0,2.0,5.0,8.0,10.0,11.0,21.0,Day 1 of each 21-day cycle for 8 cycles.,,2011.0
PMID 21991949 a_Summary_SoE.pdf,AC→TH (Doxorubicin and Cyclophosphamide followed by Docetaxel and Trastuzumab),intervention,2.0,2.0,7.0,18.0,22.0,26.0,21.0,"Cycles 1-4: Day 1. Cycle 5: Days 1, 2, 8, 15. Cycles 6-8: Days 1, 8, 15. Maintenance: Every 3 weeks.",,2011.0
PMID 21991949 a_Summary_SoE.pdf,"TCH (Docetaxel, Carboplatin and Trastuzumab)",intervention,2.0,6.0,14.0,23.0,27.0,31.0,21.0,"Cycle 1: Days 1, 2, 8, 15. Cycles 2-6: Days 1, 8, 15. Maintenance: Every 3 weeks.",,2011.0
PMID 22025146 CT_Summary_SoE.pdf,Vandetanib 300 mg,intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"Day 1 (Start), Day 15 (Safety/ECG), then every 28 days (Cycle 2 Day 1, etc.). Radiologic imaging every 12 weeks (84 days).",,2012.0
PMID 22025146 CT_Summary_SoE.pdf,Placebo,control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Identical to the intervention arm to maintain study blinding.,,2012.0
PMID 22119496 a_Summary_SoE.pdf,Arm A (Everolimus 10 mg/d + Sandostatin LAR Depot),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Cycle 1: Day 1 and Day 15. Subsequent cycles: Day 1 of each 28-day cycle.,,2011.0
PMID 22119496 a_Summary_SoE.pdf,Arm B (Placebo + Sandostatin LAR Depot),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Cycle 1: Day 1 and Day 15. Subsequent cycles: Day 1 of each 28-day cycle.,,2011.0
PMID 22149875 a_Summary_SoE.pdf,Arm B (Pertuzumab + Trastuzumab + Docetaxel),intervention,2.0,5.0,10.0,16.0,20.0,25.0,21.0,"Cycle 1: Days 1, 2, 8. Cycles 2-6: Days 1, 8. Cycles 7+: Day 1 only.",,2012.0
PMID 22149875 a_Summary_SoE.pdf,Arm A (Placebo + Trastuzumab + Docetaxel),control,2.0,5.0,10.0,16.0,20.0,25.0,21.0,"Cycle 1: Days 1, 2, 8. Cycles 2-6: Days 1, 8. Cycles 7+: Day 1 only.",,2012.0
PMID 22149876 a_Summary_SoE.pdf,Arm A (Everolimus + Exemestane),intervention,1.0,3.0,5.0,7.0,9.0,11.0,42.0,"Day 1, Day 15, Week 4 (Day 28), then every 6 weeks (Weeks 6, 12, 18, 24, 30, 36, 42, 48).",,2012.0
PMID 22149876 a_Summary_SoE.pdf,Arm B (Placebo + Exemestane),control,1.0,3.0,5.0,7.0,9.0,11.0,42.0,"Day 1, Day 15, Week 4 (Day 28), then every 6 weeks (Weeks 6, 12, 18, 24, 30, 36, 42, 48).",,2012.0
PMID 22204724 a_Summary_SoE.pdf,Arm I (Standard Chemotherapy + Placebo),control,2.0,5.0,13.0,21.0,25.0,30.0,21.0,Day 1 of each 21-day cycle for treatment. Weekly lab visits (Days 8 and 15) during the first 6 cycles (Phase A).,,2011.0
PMID 22204724 a_Summary_SoE.pdf,Arm II (Concurrent Bevacizumab + Placebo Maintenance),intervention,2.0,5.0,13.0,21.0,25.0,30.0,21.0,Day 1 of each 21-day cycle for treatment. Weekly lab visits (Days 8 and 15) during the first 6 cycles (Phase A).,,2011.0
PMID 22204724 a_Summary_SoE.pdf,Arm III (Extended Bevacizumab),intervention,2.0,5.0,13.0,21.0,25.0,30.0,21.0,Day 1 of each 21-day cycle for treatment. Weekly lab visits (Days 8 and 15) during the first 6 cycles (Phase A).,,2011.0
PMID 22257673 a_Summary_SoE.pdf,Lapatinib alone,intervention,1.0,2.0,8.0,13.0,16.0,20.0,21.0,"Pre-surgery (12 weeks): Weeks 1, 4, 7, 8, 9, 10, 11, 12. Post-surgery: 3 cycles of FEC (q3w), then 34 weeks of Lapatinib (q4w monitoring).",,2012.0
PMID 22257673 a_Summary_SoE.pdf,Trastuzumab alone,intervention,1.0,2.0,8.0,13.0,18.0,22.0,21.0,"Pre-surgery (12 weeks): Weeks 1, 4, 7, 8, 9, 10, 11, 12. Post-surgery: 3 cycles of FEC (q3w), then 34 weeks of Trastuzumab (q3w).",,2012.0
PMID 22257673 a_Summary_SoE.pdf,Lapatinib + Trastuzumab,intervention,1.0,2.0,8.0,13.0,18.0,22.0,21.0,"Pre-surgery (12 weeks): Weeks 1, 4, 7, 8, 9, 10, 11, 12. Post-surgery: 3 cycles of FEC (q3w), then 34 weeks of anti-HER2 therapy (q3w).",,2012.0
PMID 22271472 a_Summary_SoE.pdf,Arm A (Standard Treatment: Induction Chemo + Concurrent Chemoradiotherapy),control,1.0,2.0,33.0,36.0,36.0,36.0,21.0,"Induction (Day 1, 22), Concurrent (Daily x 30 days over 6 weeks), Post-RT Follow-up (Weekly x 3 weeks)",,2012.0
PMID 22271472 a_Summary_SoE.pdf,Arm B (Induction Chemo + Concurrent Chemoradiotherapy + Thalidomide),intervention,1.0,5.0,36.0,42.0,45.0,48.0,21.0,"Induction (Day 1, 22), Concurrent (Daily x 30), Maintenance (Monthly visits for refills and pregnancy tests)",,2012.0
PMID 22375970 a_Summary_SoE.pdf,INC424 (Ruxolitinib),intervention,2.0,4.0,7.0,10.0,12.0,14.0,,"Day 1, Week 2 (Interim), Week 4 (Pre-visit lab), Week 4 (Study Visit), Week 6 (Interim), Week 8, Week 12, Week 16, Week 20 (Interim), Week 24, Week 30 (Interim), Week 36, Week 42 (Interim), Week 48",,2012.0
PMID 22375970 a_Summary_SoE.pdf,Best-available therapy (BAT),control,2.0,3.0,6.0,9.0,11.0,13.0,,"Day 1, Week 2 (Interim), Week 4, Week 6 (Interim), Week 8, Week 12, Week 16, Week 20 (Interim), Week 24, Week 30 (Interim), Week 36, Week 42 (Interim), Week 48",,2012.0
PMID 22375971 a_Summary_SoE.pdf,INCB018424,intervention,2.0,4.0,7.0,10.0,12.0,14.0,28.0,"Weekly/Bi-weekly in Month 1, then every 4 weeks until Week 24, then every 6 weeks (alternating Study and Lab-only visits).",,2012.0
PMID 22375971 a_Summary_SoE.pdf,Placebo,control,2.0,4.0,7.0,10.0,12.0,14.0,28.0,"Weekly/Bi-weekly in Month 1, then every 4 weeks until Week 24, then every 6 weeks (alternating Study and Lab-only visits).",,2012.0
PMID 22454414 a_Summary_SoE.pdf,Arm A (Docetaxel + Prednisone + Placebo),control,3.0,2.0,5.0,9.0,13.0,18.0,21.0,"Day 1 of each 21-day cycle for infusions, labs, and physical exams. Imaging occurs every 3 cycles (C4, C7, etc.) on Day 1.",,2012.0
PMID 22454414 a_Summary_SoE.pdf,Arm B (Docetaxel + Prednisone + Bevacizumab),intervention,3.0,2.0,5.0,9.0,13.0,18.0,21.0,"Day 1 of each 21-day cycle for infusions, labs, and physical exams. Imaging occurs every 3 cycles (C4, C7, etc.) on Day 1.",,2012.0
PMID 22508813 a_Summary_SoE.pdf,Naproxen 500mg twice daily,intervention,1.0,2.0,2.0,2.0,2.0,2.0,21.0,1 screening visit for consent and labs; 1 treatment visit for pegfilgrastim administration and study drug dispensing; 1 follow-up visit at the start of the next chemotherapy cycle to return medication bottles.,,2012.0
PMID 22508813 a_Summary_SoE.pdf,Matching Placebo,control,1.0,2.0,2.0,2.0,2.0,2.0,21.0,1 screening visit for consent and labs; 1 treatment visit for pegfilgrastim administration and study drug dispensing; 1 follow-up visit at the start of the next chemotherapy cycle to return medication bottles.,,2012.0
PMID 22529265 a_Summary_SoE.pdf,Arm A (Bevacizumab + Carboplatin + Gemcitabine),intervention,1.0,5.0,10.0,16.0,20.0,25.0,21.0,Chemotherapy Phase (Cycles 1-6): Day 1 and Day 8 of each 21-day cycle. Maintenance Phase (Cycle 7+): Day 1 of each 21-day cycle.,,2012.0
PMID 22529265 a_Summary_SoE.pdf,Arm B (Placebo + Carboplatin + Gemcitabine),control,1.0,5.0,10.0,16.0,20.0,25.0,21.0,Chemotherapy Phase (Cycles 1-6): Day 1 and Day 8 of each 21-day cycle. Maintenance Phase (Cycle 7+): Day 1 of each 21-day cycle.,,2012.0
PMID 22551107 a_Summary_SoE.pdf,"Arm A (EDP/M: Etoposide, Doxorubicin, Cisplatin, Mitotane)",intervention,2.0,8.0,23.0,43.0,64.0,84.0,28.0,"Days 1, 2, 3, 4 (chemo) and Days 12, 14 (labs) of every 28-day cycle.",,2012.0
PMID 22551107 a_Summary_SoE.pdf,"Arm B (Sz/M: Streptozotocin, Mitotane)",control,2.0,7.0,13.0,22.0,29.0,36.0,21.0,"Induction Days 1-5, then Day 1 of every 21-day cycle. Mitotane levels checked every 4 weeks for 6 months, then every 8 weeks.",,2012.0
PMID 22564989 a_Summary_SoE.pdf,Sunitinib + Erlotinib,intervention,1.0,5.0,9.0,12.0,15.0,19.0,28.0,"Cycles 1-3: Day 1 and Day 15. Cycle 4+: Day 1 only. Imaging (CT/MRI) every 8 weeks (C3D1, C5D1, etc.).",,2012.0
PMID 22564989 a_Summary_SoE.pdf,Placebo + Erlotinib,control,1.0,5.0,9.0,12.0,15.0,19.0,28.0,"Cycles 1-3: Day 1 and Day 15. Cycle 4+: Day 1 only. Imaging (CT/MRI) every 8 weeks (C3D1, C5D1, etc.).",,2012.0
PMID 22571200 a_Summary_SoE.pdf,Arm A (MPR induction followed by lenalidomide maintenance),intervention,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-9: Days 1, 15; Cycle 10 onwards: Day 1",,2012.0
PMID 22571200 a_Summary_SoE.pdf,Arm B (MPR induction followed by placebo maintenance),intervention,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-9: Days 1, 15; Cycle 10 onwards: Day 1",,2012.0
PMID 22571200 a_Summary_SoE.pdf,Arm C (MP plus placebo induction followed by placebo maintenance),control,1.0,5.0,9.0,15.0,21.0,25.0,28.0,"Cycle 1: Days 1, 8, 15, 22; Cycles 2-9: Days 1, 15; Cycle 10 onwards: Day 1",,2012.0
PMID 22571201 a_Summary_SoE.pdf,Arm A (CC-5013 / Lenalidomide),intervention,2.0,30.0,31.0,38.0,45.0,49.0,28.0,"Hospitalization for 30 days during ASCT phase. Restaging at Day 90 and 100. Maintenance cycles are 28 days: Cycle 1 (weekly visits), Cycle 2 (bi-weekly), Cycle 3 (monthly), Cycle 4 (weekly after dose escalation), then monthly.",,2012.0
PMID 22571201 a_Summary_SoE.pdf,Arm B (Placebo),control,2.0,30.0,31.0,38.0,45.0,49.0,28.0,"Identical to Arm A. Hospitalization for 30 days during ASCT phase. Restaging at Day 90 and 100. Maintenance cycles are 28 days: Cycle 1 (weekly visits), Cycle 2 (bi-weekly), Cycle 3 (monthly), Cycle 4 (weekly after dose escalation), then monthly.",,2012.0
PMID 22585697 a_Summary_SoE.pdf,Arm A (Placebo + Intermediate Dose cytarabine [IDAC]),control,1.0,8.0,23.0,25.0,28.0,31.0,28.0,Induction/Re-induction: 5 days treatment + 3 weekly visits. Consolidation: 4 days treatment + 3 weekly visits.,,2012.0
PMID 22585697 a_Summary_SoE.pdf,Arm B (Clofarabine + Intermediate Dose cytarabine [IDAC]),intervention,1.0,8.0,23.0,25.0,28.0,31.0,28.0,Induction/Re-induction: 5 days treatment + 3 weekly visits. Consolidation: 4 days treatment + 3 weekly visits.,,2012.0
PMID 22663011 a_Summary_SoE.pdf,Arm A (GSK1120212 / Trametinib),intervention,1.0,2.0,5.0,9.0,13.0,19.0,21.0,Day 1 of every 21-day cycle.,,2012.0
PMID 22663011 a_Summary_SoE.pdf,Arm B (Chemotherapy - Dacarbazine or Paclitaxel),control,1.0,2.0,5.0,9.0,13.0,19.0,21.0,Day 1 of every 21-day cycle for IV administration.,,2012.0
PMID 22663011 a_Summary_SoE.pdf,Arm C (Extension Arm - Crossover to GSK1120212),intervention,1.0,3.0,6.0,10.0,14.0,20.0,21.0,Registration visit followed by Day 1 of every 21-day cycle.,,2012.0
PMID 22689805 a_Summary_SoE.pdf,Arm B (Decitabine),intervention,1.0,6.0,23.0,41.0,60.0,79.0,28.0,"Days 1-5 (Treatment), Day 15 (Labs/Clinic) per 28-day cycle.",,2012.0
PMID 22689805 a_Summary_SoE.pdf,Arm A (Supportive Care or Low-dose Cytarabine),control,1.0,11.0,39.0,76.0,110.0,144.0,28.0,"Days 1-10 (Treatment), Day 15 (Labs/Clinic) per 28-day cycle.",,2012.0
PMID 22735384 a_Summary_SoE.pdf,Arm A (GSK2118436),intervention,1.0,3.0,6.0,10.0,14.0,20.0,21.0,"Day 1, Day 8, then every 3 weeks (Week 3, 6, 9, etc.)",,2012.0
PMID 22735384 a_Summary_SoE.pdf,Arm B (DTIC),control,1.0,3.0,6.0,10.0,14.0,20.0,21.0,"Day 1, Day 8, then every 3 weeks (Week 3, 6, 9, etc.)",,2012.0
PMID 22808955 a_Summary_SoE.pdf,Radical Prostatectomy,intervention,1.0,1.0,3.0,4.0,5.0,6.0,0.0,"Day 1 (Surgery), 6 weeks, 3 months, 6 months, 9 months, 12 months",,2012.0
PMID 22808955 a_Summary_SoE.pdf,Expectant Management (Watchful Waiting),control,1.0,1.0,3.0,4.0,5.0,6.0,0.0,"Day 1 (Randomization), 6 weeks, 3 months, 6 months, 9 months, 12 months",,2012.0
PMID 22851564 a_Summary_SoE.pdf,Sorafenib + Gemcitabine + Cisplatin,intervention,2.0,5.0,13.0,21.0,25.0,30.0,21.0,"Chemotherapy Phase (Cycles 1-6): Days 1, 8, 15. Maintenance Phase (Cycles 7+): Day 1 only.",,2012.0
PMID 22851564 a_Summary_SoE.pdf,Placebo + Gemcitabine + Cisplatin,control,2.0,5.0,13.0,21.0,25.0,30.0,21.0,"Chemotherapy Phase (Cycles 1-6): Days 1, 8, 15. Maintenance Phase (Cycles 7+): Day 1 only.",,2012.0
PMID 22853014 a_Summary_SoE.pdf,Arm 1 (Anastrozole alone),control,1.0,2.0,4.0,7.0,10.0,14.0,28.0,"1 visit per cycle (Day 1) for physical exam, labs, and PK samples.",,2012.0
PMID 22853014 a_Summary_SoE.pdf,Arm 2 (Anastrozole and Fulvestrant),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"Cycle 1: Days 1, 14, 28. Subsequent cycles: Day 28 (aligned with IM injection).",,2012.0
PMID 22894553 a_Summary_SoE.pdf,Arm A (MDV3100),intervention,1.0,3.0,5.0,8.0,9.0,10.0,28.0,"Weekly for 2 weeks (Day 1, 8), then every 4 weeks until Week 25 (Day 29, 57, 85, 113, 141, 169), then every 12 weeks thereafter (Day 253, 337).",,2012.0
